file,label,reasons
html\plain_aast.edu_en_colleges_coe_alex_stafftemp.php_admin=3&&unit_id=3.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_elalamein_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_elalamein_announcements.php_unit_id=608.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_elalamein_contact-us.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_elalamein_events.php_unit_id=608.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_elalamein_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_elalamein_news.php_unit_id=608.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_elalamein_photogallery.php_unit_id=608.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_announcements.php_unit_id=346.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=347.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=348.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=349.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=350.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=351.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=352.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=353.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_events.php_unit_id=346.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_news.php_unit_id=346.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_heliopolis_photogallery.php_unit_id=346.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_latakia_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_latakia_dept_index.php_unit_id=633.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_latakia_dept_index.php_unit_id=634.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_latakia_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_album.php_unit_id=419&gallery_id=1249.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_album.php_unit_id=419&gallery_id=1253.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_announcements.php_unit_id=419.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=420.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=421.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=422.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=423.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=434.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=435.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=529.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_events.php_unit_id=419.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_news.php_unit_id=419.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_photogallery.php_unit_id=419.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_stafftemp.php_admin=1&&unit_id=419.html,not_program,fail:url
