file,label,text_length
html\plain_aast.edu_en_colleges_coe_smartvillage_album.php_unit_id=419&gallery_id=1249.html,college,4775
html\plain_aast.edu_en_colleges_coe_smartvillage_album.php_unit_id=419&gallery_id=1253.html,college,5066
html\plain_aast.edu_en_colleges_coe_smartvillage_announcements.php_unit_id=419.html,college,4340
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=420.html,department,5021
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=421.html,college,5328
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=422.html,college,5374
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=423.html,college,5365
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=434.html,program,6171
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=435.html,program,5871
html\plain_aast.edu_en_colleges_coe_smartvillage_dept_index.php_unit_id=529.html,program,6451
html\plain_aast.edu_en_colleges_coe_smartvillage_events.php_unit_id=419.html,college,4471
html\plain_aast.edu_en_colleges_coe_smartvillage_index.php.html,program,8525
html\plain_aast.edu_en_colleges_coe_smartvillage_news.php_unit_id=419.html,college,4814
html\plain_aast.edu_en_colleges_coe_smartvillage_photogallery.php_unit_id=419.html,college,4021
html\plain_aast.edu_en_colleges_coe_smartvillage_stafftemp.php_admin=1&&unit_id=419.html,college,5094
html\plain_aast.edu_en_colleges_coe_smartvillage_stafftemp.php_admin=2&&unit_id=419.html,staff,7170
html\plain_aast.edu_en_colleges_coe_smartvillage_stafftemp.php_admin=3&&unit_id=419.html,college,4415
html\plain_aast.edu_en_colleges_coe_smartvillage_success-stories.php.html,college,1841
html\plain_aast.edu_en_colleges_coe_southValley_.html,college,3506
html\plain_aast.edu_en_colleges_coe_southValley_contact-us.php.html,college,4042
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=499.html,news,4236
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=644.html,college,4083
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=645.html,college,1447
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=647.html,college,1459
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=648.html,college,1435
html\plain_aast.edu_en_colleges_coe_southValley_index.php.html,college,3506
html\plain_aast.edu_en_colleges_coe_southValley_stafftemp.php_admin=1&&unit_id=474.html,college,4070
